Date_Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,dayOfWeek,Time,Hour,Min,Temperature,Dew Point,Humidity,Wind,Wind Speed,Condition,anHourAgo_Temp,anHourAgo_DewPoint,anHourAgo_Humid,anHourAgo_Wind,anHourAgo_WindSpeed,anHourAgo_Condition,halfHourAgo_Temp,halfHourAgo_DewPoint,halfHourAgo_Humid,halfHourAgo_Wind,halfHourAgo_WindSpeed,halfHourAgo_Condition,DaySession
2015-10-20 10:41:35,unknown,male,thin,33.0,no,no_kids,big,brown,formal,blue,long sleeve,brown,long,clothes,5,9,no,Tuesday,10:41,10,41,29 °C,24 °C,74 %,SE,11 km/h,Haze,27 °C,23 °C,79 %,E,6 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,Morning
2015-10-20 10:49:31,malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,Tuesday,10:49,10,49,29 °C,24 °C,74 %,SE,11 km/h,Haze,27 °C,23 °C,79 %,E,6 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,Morning
2015-10-20 10:57:47,malay,male,fat,37.0,yes,toddler,big,blue,casual,grey,unknown,grey,long,clothes,5,9,no,Tuesday,10:57,10,57,29 °C,24 °C,74 %,SE,11 km/h,Haze,27 °C,23 °C,79 %,E,6 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,Morning
2015-10-20 11:13:26,malay,female,fat,55.0,yes,unknown,big,blue,traditional,orange,long sleeve,orange,long,clothes,6,7,yes,Tuesday,11:13,11,13,30 °C,25 °C,74 %,SSE,11 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,29 °C,24 °C,74 %,SE,11 km/h,Haze,Morning
2015-10-20 11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,Tuesday,11:19,11,19,30 °C,25 °C,74 %,SSE,11 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,29 °C,24 °C,74 %,SE,11 km/h,Haze,Morning
2015-10-20 11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,Tuesday,11:27,11,27,30 °C,25 °C,74 %,SSE,11 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,29 °C,24 °C,74 %,SE,11 km/h,Haze,Morning
2015-10-20 11:27:57,unknown,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,Tuesday,11:27,11,27,30 °C,25 °C,74 %,SSE,11 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,29 °C,24 °C,74 %,SE,11 km/h,Haze,Morning
2015-10-20 11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,unknown,blue  ,long,blankets,3,7,no,Tuesday,11:28,11,28,30 °C,25 °C,74 %,SSE,11 km/h,Haze,29 °C,24 °C,74 %,SE,9 km/h,Haze,29 °C,24 °C,74 %,SE,11 km/h,Haze,Morning
2015-10-20 12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no,Tuesday,12:10,12,10,30 °C,25 °C,74 %,S,9 km/h,Haze,30 °C,25 °C,74 %,SSE,11 km/h,Haze,30 °C,25 °C,74 %,SSE,11 km/h,Haze,Morning
2015-10-20 13:36:46,chinese,female,thin,29.0,no,no_kids,small,white,casual,brown,short_sleeve,black ,long,blankets,3,7,yes,Tuesday,13:36,13,36,30 °C,25 °C,74 %,S,6 km/h,Haze,30 °C,25 °C,74 %,SSE,9 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,Afternoon
2015-10-20 13:44:03,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,Tuesday,13:44,13,44,30 °C,25 °C,74 %,S,6 km/h,Haze,30 °C,25 °C,74 %,SSE,9 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,Afternoon
2015-10-20 13:47:46,chinese,male,thin,41.0,no,no_kids,big,white,unknown,black,unknown,brown,long,clothes,6,9,no,Tuesday,13:47,13,47,30 °C,25 °C,74 %,S,6 km/h,Haze,30 °C,25 °C,74 %,SSE,9 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,Afternoon
2015-10-20 14:39:57,chinese,male,thin,36.0,yes,young,big,red,unknown,grey,unknown,white,short,blankets,5,9,yes,Tuesday,14:39,14,39,30 °C,25 °C,74 %,SSW,4 km/h,Haze,30 °C,25 °C,74 %,S,6 km/h,Haze,29 °C,25 °C,79 %,S,6 km/h,Haze,Afternoon
2015-10-20 14:54:19,indian,male,fat,39.0,no,no_kids,big,blue,unknown,black,unknown,blue_jeans,long,clothes,4,10,no,Tuesday,14:54,14,54,30 °C,25 °C,74 %,SSW,4 km/h,Haze,30 °C,25 °C,74 %,S,6 km/h,Haze,29 °C,25 °C,79 %,S,6 km/h,Haze,Afternoon
2015-10-20 14:54:19,indian,male,thin,42.0,no,no_kids,big,blue,unknown,black,short_sleeve,blue_jeans,long,clothes,6,9,no,Tuesday,14:54,14,54,30 °C,25 °C,74 %,SSW,4 km/h,Haze,30 °C,25 °C,74 %,S,6 km/h,Haze,29 °C,25 °C,79 %,S,6 km/h,Haze,Afternoon
2015-10-20 15:26:05,malay,female,fat,32.0,no,no_kids,big,purple,unknown,purple,long sleeve,black,long,clothes,3,7,no,Tuesday,15:26,15,26,30 °C,25 °C,74 %,S,7 km/h,Haze,29 °C,25 °C,79 %,S,6 km/h,Haze,30 °C,25 °C,74 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 15:45:51,chinese,male,thin,40.0,yes,toddler,big,red,casual,white,short_sleeve,white,short,clothes,5,9,yes,Tuesday,15:45,15,45,30 °C,26 °C,79 %,SSE,6 km/h,Haze,30 °C,25 °C,74 %,SSW,4 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,Afternoon
2015-10-20 15:52:41,foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,Tuesday,15:52,15,52,30 °C,26 °C,79 %,SSE,6 km/h,Haze,30 °C,25 °C,74 %,SSW,4 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,Afternoon
2015-10-20 16:01:30,malay,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,Tuesday,16:01,16,01,30 °C,25 °C,74 %,SSE,6 km/h,Haze,30 °C,25 °C,74 %,S,7 km/h,Haze,30 °C,26 °C,79 %,SSE,6 km/h,Haze,Afternoon
2015-10-20 16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,casual,purple,short_sleeve,black,unknown,clothes,4,7,no,Tuesday,16:34,16,34,30 °C,25 °C,74 %,SE,6 km/h,Haze,30 °C,26 °C,79 %,SSE,6 km/h,Haze,30 °C,25 °C,74 %,SSE,6 km/h,Haze,Afternoon
2015-10-20 18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,unknown,clothes,6,10,no,Tuesday,18:14,18,14,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,S,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,Afternoon
2015-10-20 18:34:26,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,unknown,clothes,4,7,yes,Tuesday,18:34,18,34,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,29 °C,26 °C,84 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 18:37:46,chinese,female,thin,35.0,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,Tuesday,18:37,18,37,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,29 °C,26 °C,84 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 18:48:34,malay,female,thin,41.0,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,Tuesday,18:48,18,48,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,29 °C,26 °C,84 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,Tuesday,18:57,18,57,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,29 °C,26 °C,84 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 18:57:46,malay,female,fat,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,Tuesday,18:57,18,57,29 °C,26 °C,84 %,SSW,4 km/h,Haze,30 °C,26 °C,79 %,SSW,6 km/h,Haze,29 °C,26 °C,84 %,SSW,4 km/h,Haze,Afternoon
2015-10-20 20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no,Tuesday,20:09,20,09,28 °C,25 °C,84 %,SSE,4 km/h,Haze,29 °C,26 °C,84 %,SSE,4 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,Evening
2015-10-20 20:21:03,malay,male,thin,33.0,no,no_kids,big,red,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,Tuesday,20:21,20,21,28 °C,25 °C,84 %,SSE,4 km/h,Haze,29 °C,26 °C,84 %,SSE,4 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,Evening
2015-10-20 20:21:03,malay,female,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,Tuesday,20:21,20,21,28 °C,25 °C,84 %,SSE,4 km/h,Haze,29 °C,26 °C,84 %,SSE,4 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,Evening
2015-10-20 20:21:03,foreigner ,female,moderate,46.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no,Tuesday,20:21,20,21,28 °C,25 °C,84 %,SSE,4 km/h,Haze,29 °C,26 °C,84 %,SSE,4 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,Evening
2015-10-20 20:32:37,malay,female,moderate,51.0,no,no_kids,big,black,casual,red,long sleeve,red,long,clothes,6,8,no,Tuesday,20:32,20,32,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,28 °C,25 °C,84 %,SSE,4 km/h,Haze,Evening
2015-10-20 20:44:46,indian,male,fat,48.0,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no,Tuesday,20:44,20,44,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,28 °C,25 °C,84 %,SSE,4 km/h,Haze,Evening
2015-10-20 20:48:32,malay,female,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,Tuesday,20:48,20,48,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,S,4 km/h,Haze,28 °C,25 °C,84 %,SSE,4 km/h,Haze,Evening
2015-10-20 21:05:59,malay,female,fat,42.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,Tuesday,21:05,21,05,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,SSE,4 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 21:39:30,indian,male,moderate,49.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no,Tuesday,21:39,21,39,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 21:44:10,indian,male,fat,48.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,Tuesday,21:44,21,44,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:04:52,indian,female,fat,42.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,Tuesday,22:04,22,04,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,Tuesday,22:04,22,04,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:10:28,foreigner ,male,thin,38.0,no,no_kids,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no,Tuesday,22:10,22,10,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:12:39,chinese,female,thin,39.0,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,Tuesday,22:12,22,12,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:18:01,malay,male,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,Tuesday,22:18,22,18,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:20:42,malay,male,thin,29.0,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,Tuesday,22:20,22,20,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,Tuesday,22:24,22,24,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:24:54,indian,female,fat,29.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no,Tuesday,22:24,22,24,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:37:12,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,Tuesday,22:37,22,37,27 °C,25 °C,89 %,ESE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:52:52,malay,unknown,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,clothes,3,9,no,Tuesday,22:52,22,52,27 °C,25 °C,89 %,ESE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:54:56,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,Tuesday,22:54,22,54,27 °C,25 °C,89 %,ESE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 22:59:55,indian,female,moderate,55.0,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,Tuesday,22:59,22,59,27 °C,25 °C,89 %,ESE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,Evening
2015-10-20 23:08:44,indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,Tuesday,23:08,23,08,27 °C,25 °C,89 %,NNE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,27 °C,25 °C,89 %,ESE,2 km/h,Haze,Evening
2015-10-20 23:08:44,indian,male,thin,33.0,no,no_kids,small,yellow,casual,white,short_sleeve,black,long,blankets,5,10,no,Tuesday,23:08,23,08,27 °C,25 °C,89 %,NNE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,27 °C,25 °C,89 %,ESE,2 km/h,Haze,Evening
2015-10-20 23:15:42,malay,male,thin,42.0,no,no_kids,small,red,casual,brown,long sleeve,blue,long,blankets,4,8,no,Tuesday,23:15,23,15,27 °C,25 °C,89 %,NNE,2 km/h,Haze,28 °C,25 °C,84 %,E,6 km/h,Haze,27 °C,25 °C,89 %,ESE,2 km/h,Haze,Evening
2015-10-21 02:17:42,indian,male,thin,30.0,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no,Wednesday,02:17,02,17,26 °C,24 °C,89 %,NE,4 km/h,Haze,27 °C,25 °C,89 %,NE,4 km/h,Haze,26 °C,25 °C,94 %,NNE,4 km/h,Haze,Night
2015-10-21 07:35:52,indian,unknown,fat,44.0,no,no_kids,small,blue,casual,blue,short_sleeve,white,short,clothes,4,8,no,Wednesday,07:35,07,35,25 °C,23 °C,89 %,ENE,6 km/h,Haze,25 °C,23 °C,89 %,ENE,6 km/h,Haze,25 °C,23 °C,89 %,ENE,4 km/h,Haze,Morning
2015-10-21 07:58:48,chinese,unknown,moderate,54.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,3,7,no,Wednesday,07:58,07,58,25 °C,23 °C,89 %,ENE,6 km/h,Haze,25 °C,23 °C,89 %,ENE,6 km/h,Haze,25 °C,23 °C,89 %,ENE,4 km/h,Haze,Morning
2015-10-21 11:21:04,chinese,unknown,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,Wednesday,11:21,11,21,30 °C,24 °C,70 %,SE,11 km/h,Haze,29 °C,24 °C,74 %,ESE,9 km/h,Haze,30 °C,24 °C,70 %,SE,9 km/h,Haze,Morning
2015-10-21 11:56:35,malay,male,thin,32.0,no,no_kids,big,blue,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,Wednesday,11:56,11,56,31 °C,25 °C,70 %,SE,7 km/h,Haze,30 °C,24 °C,70 %,SE,9 km/h,Haze,30 °C,24 °C,70 %,SE,11 km/h,Haze,Morning
2015-10-21 11:56:35,malay,male,moderate,29.0,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,Wednesday,11:56,11,56,31 °C,25 °C,70 %,SE,7 km/h,Haze,30 °C,24 °C,70 %,SE,9 km/h,Haze,30 °C,24 °C,70 %,SE,11 km/h,Haze,Morning
2015-10-21 12:01:57,chinese,male,thin,40.0,no,no_kids,small,white,casual,red,short_sleeve,blue,long,clothes,3,9,yes,Wednesday,12:01,12,01,31 °C,24 °C,66 %,SE,9 km/h,Haze,30 °C,24 °C,70 %,SE,11 km/h,Haze,31 °C,25 °C,70 %,SE,7 km/h,Haze,Morning
2015-10-21 12:01:57,chinese,unknown,thin,31.0,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,Wednesday,12:01,12,01,31 °C,24 °C,66 %,SE,9 km/h,Haze,30 °C,24 °C,70 %,SE,11 km/h,Haze,31 °C,25 °C,70 %,SE,7 km/h,Haze,Morning
2015-10-21 12:32:17,malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,Wednesday,12:32,12,32,31 °C,24 °C,66 %,SSE,13 km/h,Haze,31 °C,25 °C,70 %,SE,7 km/h,Haze,31 °C,24 °C,66 %,SE,9 km/h,Haze,Morning
2015-10-21 12:44:01,chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,Wednesday,12:44,12,44,31 °C,24 °C,66 %,SSE,13 km/h,Haze,31 °C,25 °C,70 %,SE,7 km/h,Haze,31 °C,24 °C,66 %,SE,9 km/h,Haze,Morning
2015-10-21 13:04:37,malay,female,thin,42.18272841051314,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,Wednesday,13:04,13,04,32 °C,24 °C,62 %,SSE,11 km/h,Haze,31 °C,24 °C,66 %,SE,9 km/h,Haze,31 °C,24 °C,66 %,SSE,13 km/h,Haze,Afternoon
2015-10-21 13:04:37,malay,male,moderate,54.0,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,Wednesday,13:04,13,04,32 °C,24 °C,62 %,SSE,11 km/h,Haze,31 °C,24 °C,66 %,SE,9 km/h,Haze,31 °C,24 °C,66 %,SSE,13 km/h,Haze,Afternoon
2015-10-21 14:18:47,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,Wednesday,14:18,14,18,32 °C,24 °C,62 %,SSE,13 km/h,Haze,32 °C,24 °C,62 %,SSE,11 km/h,Haze,32 °C,24 °C,62 %,SSE,11 km/h,Haze,Afternoon
2015-10-21 14:30:07,malay,male,fat,38.0,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,Wednesday,14:30,14,30,32 °C,24 °C,62 %,SSE,13 km/h,Haze,32 °C,24 °C,62 %,SSE,11 km/h,Haze,32 °C,24 °C,62 %,SSE,13 km/h,Haze,Afternoon
