No,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Age_Group
51,20/10/2015,21:05:59,malay,female,fat,42.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,"(40, 50]"
52,20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,"(40, 50]"
53,20/10/2015,22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,"(50, 60]"
54,20/10/2015,22:10:28,foreigner ,male,thin,38.0,no,no_kids,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no,"(30, 40]"
55,20/10/2015,22:12:39,chinese,female,thin,39.0,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,"(30, 40]"
56,20/10/2015,22:18:01,malay,male,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,"(50, 60]"
57,20/10/2015,22:20:42,malay,male,thin,29.0,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,"(20, 30]"
58,20/10/2015,22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,"(40, 50]"
59,20/10/2015,22:24:54,indian,female,fat,29.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no,"(20, 30]"
60,20/10/2015,22:37:12,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,"(40, 50]"
61,20/10/2015,22:52:52,malay,unknown,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,clothes,3,9,no,"(50, 60]"
62,20/10/2015,22:54:56,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,"(20, 30]"
63,20/10/2015,22:59:55,indian,female,moderate,55.0,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,"(50, 60]"
64,20/10/2015,23:08:44,indian,male,thin,33.0,no,no_kids,small,yellow,casual,white,short_sleeve,black,long,blankets,5,10,no,"(30, 40]"
65,20/10/2015,23:08:44,indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,"(40, 50]"
66,20/10/2015,23:15:42,malay,male,thin,42.0,no,no_kids,small,red,casual,brown,long sleeve,blue,long,blankets,4,8,no,"(40, 50]"
67,20/10/2015,0:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,"(40, 50]"
68,21/10/2015,2:17:42,indian,male,thin,30.0,no,no_kids,small,white,casual,black,short_sleeve,white,short,clothes,6,7,no,"(20, 30]"
69,21/10/2015,7:35:52,indian,unknown,fat,44.0,no,no_kids,small,blue,casual,blue,short_sleeve,white,short,clothes,4,8,no,"(40, 50]"
70,21/10/2015,7:58:48,chinese,unknown,moderate,54.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,3,7,no,"(50, 60]"
71,21/10/2015,11:21:04,chinese,unknown,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,"(40, 50]"
72,21/10/2015,11:56:35,malay,male,thin,32.0,no,no_kids,big,blue,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,"(30, 40]"
73,21/10/2015,11:56:35,malay,male,moderate,29.0,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,"(20, 30]"
74,21/10/2015,12:01:57,chinese,male,thin,40.0,no,no_kids,small,white,casual,red,short_sleeve,blue,long,clothes,3,9,yes,"(30, 40]"
75,21/10/2015,12:01:57,chinese,unknown,thin,31.0,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,"(30, 40]"
76,21/10/2015,12:32:17,malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,"(30, 40]"
77,21/10/2015,12:44:01,chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,"(50, 60]"
78,21/10/2015,13:04:37,malay,female,thin,42.18272841051314,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,"(40, 50]"
79,21/10/2015,13:04:37,malay,male,moderate,54.0,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,"(50, 60]"
80,21/10/2015,14:18:47,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,"(40, 50]"
81,21/10/2015,14:30:07,malay,male,fat,38.0,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,"(30, 40]"
82,21/10/2015,14:32:50,malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,"(40, 50]"
83,21/10/2015,14:51:37,chinese,female,thin,42.18272841051314,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,"(40, 50]"
84,21/10/2015,15:05:32,malay,female,moderate,42.0,yes,toddler,big,blue,traditional,purple,long sleeve,purple,long,blankets,4,8,no,"(40, 50]"
85,21/10/2015,16:53:36,chinese,male,moderate,53.0,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,no,"(50, 60]"
86,21/10/2015,19:35:17,malay,female,fat,40.0,no,no_kids,big,blue,traditional,brown,long sleeve,brown,long,clothes,6,8,no,"(30, 40]"
87,21/10/2015,19:35:17,malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,"(50, 60]"
88,21/10/2015,19:35:17,indian,male,fat,49.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,"(40, 50]"
89,21/10/2015,21:13:41,malay,male,thin,52.0,no,no_kids,big,black,traditional,brown,long sleeve,brown,long,clothes,6,10,no,"(50, 60]"
90,21/10/2015,21:13:41,malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,"(30, 40]"
91,21/10/2015,21:13:41,chinese,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,short,clothes,5,9,yes,"(30, 40]"
92,21/10/2015,21:13:41,indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,"(30, 40]"
93,22/10/2015,7:31:47,malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,"(40, 50]"
94,22/10/2015,9:19:35,malay,female,fat,33.0,no,no_kids,big,white,traditional,blue,long sleeve,black,long,clothes,5,7,no,"(30, 40]"
95,22/10/2015,9:19:35,malay,female,moderate,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,"(50, 60]"
96,22/10/2015,9:48:38,chinese,female,thin,42.18272841051314,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,"(40, 50]"
97,22/10/2015,10:08:57,malay,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,"(50, 60]"
98,22/10/2015,10:50:38,malay,female,thin,49.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,"(40, 50]"
99,22/10/2015,10:50:38,malay,male,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,"(40, 50]"
100,22/10/2015,13:14:43,foreigner ,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,"(40, 50]"
101,22/10/2015,13:17:51,malay,female,fat,53.0,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,no,"(50, 60]"
102,22/10/2015,13:17:51,malay,male,fat,41.0,no,no_kids,big,green,casual,green,short_sleeve,black,long,clothes,3,10,no,"(40, 50]"
103,22/10/2015,14:38:23,malay,male,moderate,55.0,no,no_kids,small,white,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,"(50, 60]"
104,22/10/2015,15:10:04,malay,female,moderate,34.0,no,no_kids,small,green,casual,red,long sleeve,purple,long,clothes,4,7,no,"(30, 40]"
105,22/10/2015,15:42:25,malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,"(30, 40]"
106,22/10/2015,18:42:40,indian,male,fat,44.0,no,no_kids,big,white,casual,yellow,short_sleeve,grey,short,clothes,5,7,no,"(40, 50]"
107,22/10/2015,19:48:07,chinese,male,thin,50.0,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,"(40, 50]"
108,22/10/2015,20:23:30,foreigner ,male,moderate,54.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no,"(50, 60]"
109,22/10/2015,20:49:14,chinese,male,thin,44.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,"(40, 50]"
110,22/10/2015,22:10:13,indian,male,moderate,32.0,no,no_kids,big,white,casual,green,short_sleeve,brown,short,clothes,3,9,no,"(30, 40]"
111,22/10/2015,22:52:01,chinese,female,thin,32.0,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,3,9,no,"(30, 40]"
112,22/10/2015,23:18:33,indian,male,fat,47.0,no,no_kids,big,black,casual,blue,short_sleeve,black,short,clothes,6,7,no,"(40, 50]"
113,23/10/2015,1:09:08,chinese,female,fat,30.0,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,"(20, 30]"
114,23/10/2015,1:31:55,chinese,male,fat,31.0,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,clothes,3,8,yes,"(30, 40]"
115,23/10/2015,1:52:36,indian,female,fat,39.0,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no,"(30, 40]"
116,23/10/2015,2:48:52,malay,male,fat,40.0,no,no_kids,big,black,casual,blue,short_sleeve,grey,long,clothes,5,7,no,"(30, 40]"
117,23/10/2015,4:35:37,indian,male,moderate,42.18272841051314,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,"(40, 50]"
118,23/10/2015,7:07:53,malay,female,fat,52.0,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,"(50, 60]"
119,23/10/2015,7:31:00,malay,male,fat,33.0,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,"(30, 40]"
120,23/10/2015,10:27:02,chinese,male,thin,47.0,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,"(40, 50]"
121,23/10/2015,11:14:22,malay,male,fat,53.0,yes,baby,big,grey,casual,red,short_sleeve,brown,long,clothes,3,9,no,"(50, 60]"
122,23/10/2015,11:17:03,malay,female,moderate,53.0,yes,toddler,big,unknown,formal,pink,long sleeve,black,long,clothes,4,7,no,"(50, 60]"
123,23/10/2015,11:54:36,indian,male,moderate,40.0,no,no_kids,small,green,formal,white,short_sleeve,black,unknown,clothes,3,9,no,"(30, 40]"
124,23/10/2015,11:59:37,malay,male,moderate,40.0,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,"(30, 40]"
125,23/10/2015,12:00:06,malay,unknown,fat,52.0,no,no_kids,big,blue,unknown,black,long sleeve,black,long,clothes,6,10,no,"(50, 60]"
126,23/10/2015,12:00:06,indian,male,fat,44.0,no,no_kids,big,white,casual,black,short_sleeve,grey,long,unknown,4,10,no,"(40, 50]"
127,23/10/2015,12:00:06,malay,male,fat,28.0,no,no_kids,big,black,casual,black,short_sleeve,black,long,clothes,3,8,no,"(20, 30]"
128,23/10/2015,12:01:53,unknown,male,thin,44.0,no,no_kids,big,white,unknown,black,short_sleeve,red,short,unknown,4,8,yes,"(40, 50]"
129,23/10/2015,12:23:32,malay,female,thin,52.0,no,no_kids,big,blue,casual,blue,unknown,blue,short,unknown,5,8,no,"(50, 60]"
130,23/10/2015,12:57:44,malay,female,fat,39.0,no,no_kids,big,unknown,casual,black,short_sleeve,black,long,clothes,6,8,no,"(30, 40]"
131,23/10/2015,15:17:25,malay,female,thin,31.0,no,no_kids,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,3,7,no,"(30, 40]"
132,23/10/2015,16:06:01,foreigner ,male,thin,31.0,no,no_kids,big,white,formal,grey,unknown,grey,long,clothes,6,9,no,"(30, 40]"
133,23/10/2015,16:06:01,unknown,female,fat,40.0,no,no_kids,big,grey,casual,grey,long sleeve,black,unknown,clothes,4,9,no,"(30, 40]"
134,23/10/2015,16:11:32,malay,female,thin,28.0,yes,baby,big,white,casual,blue,unknown,black,long,blankets,4,9,no,"(20, 30]"
135,23/10/2015,16:33:34,malay,female,moderate,41.0,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,"(40, 50]"
136,23/10/2015,17:31:48,malay,female,moderate,41.0,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,"(40, 50]"
137,23/10/2015,17:31:48,malay,unknown,fat,49.0,no,no_kids,big,blue,casual,brown,short_sleeve,white,long,clothes,5,9,no,"(40, 50]"
138,23/10/2015,19:47:39,chinese,female,thin,30.0,no,no_kids,small,white,casual,green,short_sleeve,black,long,clothes,6,7,no,"(20, 30]"
139,23/10/2015,19:55:14,chinese,male,moderate,48.0,no,no_kids,big,blue,casual,white,short_sleeve,black,unknown,clothes,3,9,no,"(40, 50]"
140,23/10/2015,20:08:58,chinese,female,moderate,34.0,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,"(30, 40]"
141,23/10/2015,20:39:42,foreigner ,male,thin,45.0,no,no_kids,big,brown,casual,red,unknown,grey,long,clothes,6,9,no,"(40, 50]"
142,23/10/2015,21:18:54,foreigner ,female,thin,39.0,yes,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,"(30, 40]"
143,23/10/2015,21:51:00,malay,female,moderate,48.0,yes,toddler,big,red,casual,blue,long sleeve,black,long,unknown,4,7,no,"(40, 50]"
144,23/10/2015,22:31:34,indian,female,fat,40.0,yes,young,big,red,casual,purple,short_sleeve,black,unknown,clothes,4,10,no,"(30, 40]"
145,23/10/2015,22:58:27,chinese,unknown,thin,42.0,no,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,"(40, 50]"
146,23/10/2015,23:38:01,malay,male,fat,42.18272841051314,no,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,3,7,no,"(40, 50]"
147,24/10/2015,0:18:48,chinese,male,fat,36.0,no,no_kids,big,red,casual,blue,short_sleeve,green,short,clothes,3,9,yes,"(30, 40]"
148,24/10/2015,0:38:01,malay,unknown,thin,28.0,yes,baby,big,blue,casual,red,short_sleeve,grey,long,clothes,3,9,no,"(20, 30]"
149,24/10/2015,1:31:38,malay,male,fat,53.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,"(50, 60]"
150,24/10/2015,6:44:22,malay,male,thin,42.0,no,no_kids,big,red,casual,yellow,unknown,black,long,clothes,4,7,yes,"(40, 50]"
151,24/10/2015,6:56:49,chinese,female,moderate,39.0,no,no_kids,big,red,casual,blue,short_sleeve,black,long,clothes,6,9,no,"(30, 40]"
152,24/10/2015,8:51:44,unknown,male,fat,40.0,no,no_kids,big,black,casual,white,long sleeve,brown,unknown,clothes,4,10,no,"(30, 40]"
153,24/10/2015,9:07:33,indian,female,thin,41.0,no,no_kids,big,green,casual,brown,short_sleeve,grey,long,unknown,6,9,no,"(40, 50]"
154,24/10/2015,9:22:05,malay,female,thin,50.0,no,no_kids,unknown,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,"(40, 50]"
155,24/10/2015,9:23:10,malay,female,fat,48.0,no,no_kids,big,red,casual,red,long sleeve,brown,long,clothes,6,9,no,"(40, 50]"
156,24/10/2015,9:23:10,unknown,female,thin,42.0,no,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,no,"(40, 50]"
157,24/10/2015,9:24:29,malay,male,moderate,51.0,no,no_kids,small,white,casual,blue,unknown,black,long,unknown,6,10,no,"(50, 60]"
158,24/10/2015,10:30:48,chinese,female,thin,54.0,no,no_kids,big,red,casual,unknown,short_sleeve,brown,short,clothes,6,9,no,"(50, 60]"
159,24/10/2015,10:30:48,malay,male,thin,50.0,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no,"(40, 50]"
160,24/10/2015,10:47:32,unknown,female,fat,44.0,no,no_kids,big,blue,casual,black,long sleeve,black,long,clothes,5,8,no,"(40, 50]"
161,24/10/2015,10:59:09,malay,unknown,fat,41.0,no,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,4,9,no,"(40, 50]"
162,24/10/2015,11:12:18,malay,female,moderate,45.0,yes,young,big,red,casual,black,short_sleeve,red,long,unknown,4,7,no,"(40, 50]"
163,24/10/2015,11:32:11,malay,male,fat,41.0,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no,"(40, 50]"
164,24/10/2015,11:34:26,indian,female,moderate,37.0,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,clothes,6,7,no,"(30, 40]"
165,24/10/2015,12:00:51,indian,unknown,fat,35.0,no,no_kids,big,black,casual,blue,unknown,black,long,unknown,3,7,no,"(30, 40]"
166,24/10/2015,12:14:54,chinese,male,thin,53.0,yes,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes,"(50, 60]"
167,24/10/2015,12:37:44,chinese,male,moderate,53.0,no,no_kids,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no,"(50, 60]"
168,24/10/2015,13:05:01,chinese,male,thin,51.0,no,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,"(50, 60]"
169,24/10/2015,13:30:48,malay,female,moderate,32.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,"(30, 40]"
170,24/10/2015,13:37:15,malay,female,thin,52.0,no,no_kids,big,unknown,casual,red,short_sleeve,black,long,clothes,5,9,no,"(50, 60]"
171,24/10/2015,13:37:15,malay,unknown,thin,50.0,no,no_kids,big,white,casual,green,long sleeve,white,long,unknown,4,8,no,"(40, 50]"
172,24/10/2015,14:07:01,malay,male,moderate,31.0,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,"(30, 40]"
173,24/10/2015,14:28:38,indian,female,moderate,54.0,no,no_kids,small,white,casual,unknown,short_sleeve,black,long,clothes,5,10,no,"(50, 60]"
174,24/10/2015,14:39:02,foreigner ,male,thin,47.0,no,no_kids,big,blue,casual,blue,short_sleeve,black,unknown,clothes,6,7,no,"(40, 50]"
175,24/10/2015,14:51:31,chinese,male,moderate,39.0,no,no_kids,big,black,casual,red,unknown,black,short,unknown,3,9,yes,"(30, 40]"
176,24/10/2015,14:55:41,indian,female,thin,50.0,no,no_kids,big,black,casual,white,short_sleeve,black,long,clothes,4,8,no,"(40, 50]"
177,24/10/2015,15:01:59,indian,male,fat,34.0,no,no_kids,big,unknown,formal,orange,long sleeve,black,long,blankets,4,7,yes,"(30, 40]"
178,24/10/2015,15:20:20,malay,female,thin,47.0,no,no_kids,big,blue,casual,blue,unknown,brown,long,blankets,6,8,no,"(40, 50]"
179,24/10/2015,15:30:07,malay,male,fat,40.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,5,10,no,"(30, 40]"
180,24/10/2015,15:30:07,chinese,female,thin,51.0,no,no_kids,big,red,unknown,white,short_sleeve,black,long,clothes,3,8,no,"(50, 60]"
181,24/10/2015,15:30:07,chinese,male,moderate,37.0,no,no_kids,big,white,casual,black,short_sleeve,unknown,long,clothes,4,7,yes,"(30, 40]"
